Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_Score,Auto Loan,Credit-Builder Loan,Debt Consolidation Loan,Home Equity Loan,Mortgage Loan,Payday Loan,Personal Loan,Student Loan,num_loan_types,spending_level,payment_size,Month_April,Month_August,Month_February,Month_January,Month_July,Month_June,Month_March,Month_May,Occupation_Accountant,Occupation_Architect,Occupation_Developer,Occupation_Doctor,Occupation_Engineer,Occupation_Entrepreneur,Occupation_Journalist,Occupation_Lawyer,Occupation_Manager,Occupation_Mechanic,Occupation_Media_Manager,Occupation_Musician,Occupation_Scientist,Occupation_Teacher,Occupation_Writer,debt_to_income,debt_per_loan,delay_ratio,high_utilization,age_group_young,age_group_adult,age_group_mid,age_group_senior,long_credit_history,income_delay,credit_history_per_age,total_credit_lines
23.0,42767.89,3118.399166666667,1.0,7.0,11.0,1.0,9,6.0,2.63,3.0,2,1413.55,40.448896287344326,318.0,0,20.338018617921698,29.219024087699648,532.5420406277119,1,0,0,0,0,0,0,0,1,1,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03305166563045313,1394.06,6.0,1,1.0,0.0,0.0,0.0,1,7127.981666666667,13.826086956521738,8.0
25.0,27865.26,3118.399166666667,4.0,3.0,6.0,1.0,22,18.0,19.05,5.0,1,635.59,23.95474521970577,366.0,1,17.69844332156168,131.1583048832602,423.9864337095012,1,0,0,0,0,0,0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022809404972356263,635.59,18.0,1,1.0,0.0,0.0,0.0,1,1548.07,14.64,7.0
45.0,15599.88,1324.99,6.0,8.0,21.0,6.0,60,25.0,20.27,8.0,0,4384.6,34.629553156019675,101.0,1,66.73228634614793,86.13200140495708,259.63471224889497,0,0,0,0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.28106626461229195,730.7666666666668,4.166666666666667,1,0.0,0.0,1.0,0.0,0,623.9952,2.2444444444444445,14.0
28.0,17013.29,1326.7741666666668,2.0,1.0,10.0,1.0,6,0.0,16.93,2.0,1,1452.79,27.5136905786532,385.0,0,13.109662870945856,100.82850548389196,308.7392483118289,2,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08539147924945734,1394.06,-0.2,1,0.0,1.0,0.0,0.0,1,22.365017327123063,13.75,3.0
48.0,82230.76,3118.399166666667,1.0,3.0,5.0,0.0,2,2.0,6.05,6.0,2,1260.01,24.93453942825613,369.0,0,27748.0,731.8548489255477,243.50148440778568,1,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015322854853828421,343.13583333333327,3.4285714285714284,1,0.0,0.0,1.0,0.0,1,41115.38,7.6875,4.0
53.0,42048.24,3758.02,6.0,4.0,5.0,2.0,22,8.0,9.54,1.0,2,975.52,34.37058754430649,349.0,1,53.581463259695425,125.9631224166003,446.2574143237043,2,1,0,0,0,0,0,1,0,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02320001978679726,487.76,4.0,1,0.0,0.0,0.0,1.0,1,5256.03,6.584905660377358,10.0
26.0,30385.56,2374.13,0.0,6.0,9.0,3.0,9,11.0,11.09,0.0,2,1444.1,31.9364416294755,374.0,0,71.2615631000285,78.96447460755407,337.18696229241743,1,0,0,0,0,0,0,0,1,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04752586425920733,481.3666666666666,3.6666666666666665,1,0.0,1.0,0.0,0.0,1,2762.3236363636365,14.384615384615385,6.0
41.0,17122.37,1183.8641666666665,7.0,5.0,12.0,2.0,14,18.0,8.52,9.0,1,1663.18,38.376196281492746,139.0,1,21.15095856322389,131.1583048832602,283.2025716726561,1,0,0,0,1,1,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09713491765450695,831.59,9.0,1,0.0,0.0,1.0,0.0,1,951.2427777777777,3.3902439024390243,12.0
20.0,35075.33,3213.9441666666667,7.0,5.0,9.0,1.0,0,14.0,5.31,2.0,1,441.46,29.995279440351997,182.0,0,28.573030595961857,300.4159628096304,272.4054232610745,1,0,0,0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012586054072762821,441.46,14.0,1,1.0,0.0,0.0,0.0,1,2505.3807142857145,9.1,12.0
38.0,59893.26,5052.105000000001,6.0,3.0,9.0,1.0,16,19.0,2.89,2.0,2,1457.41,29.57621517943731,256.0,0,40.78819745724682,262.94651264161763,491.4757899011356,2,1,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024333455884685523,1394.06,19.0,1,0.0,0.0,1.0,0.0,1,3152.2768421052633,6.7368421052631575,9.0
33.0,145175.4,12016.95,3.0,1.0,6.0,1.0,16,0.0,5.58,2.0,2,1271.95,37.29758198296726,283.0,0,67.83706538387564,167.2909881915461,1123.1821264073217,1,0,0,0,0,0,0,1,0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008761470607279196,1271.95,0.0,1,0.0,1.0,0.0,0.0,1,2881.672857142857,8.575757575757576,4.0
28.0,9615.095,610.2579166666667,8.0,6.0,13.0,2.0,12,18.0,0.7800000000000002,4.0,1,520.99,31.78540398513529,270.0,1,9.610264095842965,31.446252344009046,309.9692752268146,1,0,0,1,0,0,0,0,1,3,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.054184592039912244,260.495,9.0,1,0.0,1.0,0.0,0.0,1,534.1719444444444,9.642857142857142,14.0
33.0,17024.05,1454.0827083496192,3.0,4.0,12.0,6.0,16,18.0,15.42,12.0,1,1473.4,38.686077360024534,221.64739298925488,1,74.01477911733603,46.90784899704232,300.63258020266926,1,0,0,0,0,0,0,0,1,1,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0865481480611253,245.5666666666667,3.0,1,0.0,1.0,0.0,0.0,1,945.7805555555556,6.716587666341057,7.0
35.0,34180.94,2685.411666666667,6.0,5.0,19.0,7.0,61,25.0,2.63,10.0,0,3375.66,41.105560950674615,93.0,1,135.85229511509775,59.86548272531717,322.82338882625186,0,0,0,0,0,0,0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09875854789248042,482.2371428571428,3.5714285714285716,1,0.0,1.0,0.0,0.0,0,1367.2376000000002,2.657142857142857,11.0
28.0,39831.1,3454.258333333333,1.0,2.0,6.0,1.0,12,14.0,9.08,4.0,2,26.47,32.975308035067954,329.0,0,25.7980240980847,141.74470797312867,437.8831012621201,2,0,0,0,1,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016324175727732213,1.2,14.0,1,0.0,1.0,0.0,0.0,1,2845.078571428571,11.75,3.0
33.0,71015.06999999999,5866.9225,7.0,7.0,2832.1599999999744,4.0,6,11.0,14.16,4.0,1,1244.36,25.444412773039534,347.0,1,139.2783643038279,283.16788898934806,434.245996706824,1,0,0,0,0,0,0,0,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017522477975449438,311.09,2.75,1,0.0,1.0,0.0,0.0,1,6455.915454545454,10.515151515151516,14.0
25.0,28097.2,2397.433333333333,0.0,7.0,4.0,0.0,7,8.0,5.44,2.0,1,644.34,26.82586300857079,356.0,0,0.0,93.69862615232245,436.04470718101095,2,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022932534202696354,343.13583333333327,3.4285714285714284,1,1.0,0.0,0.0,0.0,1,3512.15,14.24,7.0
19.0,47641.53,3118.399166666667,7.0,7.0,28.0,7.0,55,23.0,4.94,8.0,0,2150.59,39.145374191672985,181.0,1,161.74768540935835,205.8828649300825,321.7821996605592,0,0,0,0,1,1,1,1,1,6,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0451410775430596,307.2271428571429,3.2857142857142856,1,1.0,0.0,0.0,0.0,1,2071.370869565217,9.526315789473685,14.0
39.0,106119.68,9128.306666666664,3.0,5.0,18.0,3.0,5,14.0,19.95,5.0,1,336.54,30.26449686171999,186.0,1,256.32974338951124,953.931419549011,336.62340232842604,2,1,0,0,0,1,0,0,1,4,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0031713250548814323,112.18,4.666666666666667,1,0.0,0.0,1.0,0.0,1,7579.977142857142,4.769230769230769,8.0
47.0,19705.74,1377.1450000000002,5.0,4.0,10.0,2.0,13,11.0,11.98,0.0,1,39.75,32.07344388860426,221.64739298925488,1,22.966879275431356,152.24368474371167,252.50393598085697,1,0,0,0,1,0,0,1,0,3,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020171787509629174,19.875,5.5,1,0.0,0.0,1.0,0.0,1,1791.4309090909092,4.715901978494784,9.0
44.0,66012.28,5400.0233333333335,10.0,9.0,30.0,3.0,47,14.0,28.740099999999984,11.0,1,3696.36,27.89374541991133,169.0,1,227.3018600172955,219.8688674374263,362.8316058786116,1,0,0,0,0,0,0,0,1,1,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05599503607510603,1232.1200000000001,4.666666666666667,1,0.0,0.0,1.0,0.0,1,4715.162857142857,3.840909090909091,19.0
45.0,106614.18,9150.515,3.0,6.0,6.0,2.0,7,2.0,2.89,4.0,2,40.71,28.34126166816324,307.0,0,105.1786512581012,373.6438059622128,706.2290427796861,1,0,0,1,0,1,0,0,0,3,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038184414118272073,20.355,1.0,1,0.0,0.0,1.0,0.0,1,53307.09,6.822222222222222,9.0
54.0,94639.11,3118.399166666667,3.0,4.0,16.0,3.0,12,16.0,3.28,0.0,1,680.76,38.76886813560875,221.64739298925488,0,194.60111259094947,220.36688446825963,615.5912529407908,1,0,1,0,1,0,1,0,0,4,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00719322064630574,226.92,5.333333333333333,1,0.0,0.0,0.0,1.0,1,5914.944375,4.104581351652868,7.0
48.0,17950.55,1646.8791666666666,7.0,3.0,10.0,3.0,18,14.0,3.23,3.0,1,453.73,40.54379566465823,221.64739298925488,0,27.41569306677552,46.74353013905029,370.5286934608408,0,0,0,0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.025276662832058074,151.24333333333334,4.666666666666667,1,0.0,0.0,1.0,0.0,1,1282.1821428571427,4.617654020609477,10.0
25.0,58208.24,4748.6866666666665,9.0,9.0,988.0,8.0,31,17.0,5.24,17.0,0,2551.84,36.14029604585152,127.0,1,223.92009063068545,222.5026844683765,318.4458915676048,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.043839841232100475,318.98,2.125,1,1.0,0.0,0.0,0.0,1,3424.014117647059,5.08,18.0
28.0,15349.54,1180.128333333333,9.0,7.0,22.0,9.0,40,14.0,9.37,12.0,0,2988.2,33.04588755470302,142.0,1,108.46101550745072,148.97443326153078,150.5773845643519,1,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19467684373603375,332.0222222222222,1.5555555555555556,1,0.0,1.0,0.0,0.0,1,1096.3957142857143,5.071428571428571,16.0
51.0,26779.9,3118.399166666667,7.0,4.0,12.0,4.0,28,14.0,7.36,6.0,2,680.39,39.9225697705133,221.64739298925488,0,56.035539800776434,50.67615358460085,331.95413994795604,2,0,1,1,0,0,0,1,0,4,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025406741623381714,170.0975,3.5,1,0.0,0.0,0.0,1.0,1,1912.8500000000001,4.346027313514802,11.0
42.0,9754.75,553.8316666666666,7.0,6.0,21.0,6.0,28,16.0,16.11,10.0,0,4074.72,33.49887063121924,221.64739298925488,1,42.73230601419176,22.307144633383352,237.65013268575825,1,0,1,0,1,0,1,0,0,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4177164970911607,679.12,2.6666666666666665,1,0.0,0.0,1.0,0.0,1,609.671875,5.277318880696545,13.0
34.0,14132.77,894.7308333333333,8.0,8.0,23.0,5.0,56,23.0,27.56,12.0,1,4300.74,31.377779963756826,221.64739298925488,1,39.742504244485275,23.673565851048345,276.0570132377997,1,0,0,0,1,0,0,1,1,4,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304309770837564,860.1479999999999,4.6,1,0.0,1.0,0.0,0.0,1,614.4682608695653,6.5190409702722025,16.0
52.0,48115.6,4287.633333333333,8.0,5.0,12.0,2.0,28,18.0,-1.4500000000000002,5.0,1,454.94,33.048463410774715,306.0,0,45.392163488128325,124.2680262254054,509.1031436197995,2,0,0,1,0,1,0,0,0,3,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009455145524528428,227.47,9.0,1,0.0,0.0,0.0,1.0,1,2673.088888888889,5.884615384615385,13.0
29.0,134993.79,11462.4825,1.0,6.0,9.0,3.0,9,9.0,10.64,5.0,2,629.16,33.03697372236522,193.0,0,280.8381170557317,164.69032232652805,940.7198106177404,0,0,0,1,0,0,0,1,1,4,1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.004660658834750842,209.72,3.0,1,0.0,1.0,0.0,0.0,1,14999.310000000001,6.655172413793103,7.0
33.0,37080.88,3347.0733333333333,7.0,7.0,29.0,3.0,34,24.0,21.96,858.0,0,3004.98,33.756785606936816,64.0,1,222.0722164981464,351.69910965661813,69.70581263230939,1,1,0,1,1,0,1,1,1,7,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08103852982992853,1001.66,8.0,1,0.0,1.0,0.0,0.0,0,1545.0366666666666,1.9393939393939394,14.0
45.0,22517.1,1600.425,3.0,5.0,6.0,0.0,9,20.0,8.32,4.0,1,729.74,32.54011148740636,197.0,1,0.0,131.1583048832602,346.9111556646012,1,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03240825861234351,343.13583333333327,3.4285714285714284,1,0.0,0.0,1.0,0.0,1,1125.855,4.377777777777778,8.0
33.0,15660.15,3118.399166666667,9.0,10.0,23.0,5.0,45,18.0,2.46,9.0,0,1354.33,34.45115834848661,97.0,1,57.290679432061694,153.88722462479603,215.12334594314228,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08648256881319782,270.866,3.6,1,0.0,1.0,0.0,0.0,0,870.0083333333333,2.9393939393939394,19.0
40.0,24312.94,2040.078333333333,4.0,6.0,20.0,6.0,24,18.0,19.83,4.0,1,636.21,33.259445592710826,116.0,1,120.6661970700823,34.424667305112315,298.91696895813874,1,0,0,0,0,0,0,0,1,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.026167546993494002,106.03500000000001,3.0,1,0.0,0.0,1.0,0.0,0,1350.7188888888888,2.9,10.0
32.0,122503.12,9982.593333333332,3.0,7.0,7.0,0.0,29,14.0,7.32,2.0,2,333.32,34.51040550124148,208.0,0,0.0,840.8502104335511,427.4091228997824,0,0,0,0,0,0,0,0,1,1,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002720910291917463,343.13583333333327,3.4285714285714284,1,0.0,1.0,0.0,0.0,1,8750.222857142857,6.5,10.0
26.0,9622.625,905.8854166666664,5.0,5.0,16.0,5.0,8,10.0,18.07,5.0,1,1836.2,39.84704114163132,221.64739298925488,1,29.799562938173555,46.702984306594416,304.0859944218987,1,0,0,0,0,0,0,0,1,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.19082111170288774,367.24,2.0,1,0.0,1.0,0.0,0.0,1,962.2625,8.524899730355957,10.0
22.0,45594.72,3118.399166666667,7.0,4.0,18.0,6.0,15,22.0,9.47,8.0,1,1256.49,28.62402047580995,195.0,1,182.1071855917206,330.6920327745434,148.05678163373597,1,0,0,0,0,0,0,0,1,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027557796165871836,209.415,3.6666666666666665,1,1.0,0.0,0.0,0.0,1,2072.4872727272727,8.863636363636363,11.0
